Player,Name,Country,Span,Mat,Inns,NO,Runs,HS,Ave,Century,Fifty,Ducks
V Kohli (INDIA),V Kohli,INDIA,2011-2019,84,141,10,7202,254*,54.97,27,22,10
SP Fleming (NZ),SP Fleming,NZ,1994-2008,111,189,10,7172,274*,40.06,9,46,16
SPD Smith (AUS),SPD Smith,AUS,2010-2019,72,130,16,7164,239,62.84,26,28,4
LRPL Taylor (NZ),LRPL Taylor,NZ,2007-2019,98,173,20,7130,290,46.6,19,33,14
GS Chappell (AUS),GS Chappell,AUS,1970-1984,87,151,19,7110,247*,53.86,24,31,12
DA Warner (AUS),DA Warner,AUS,2011-2019,83,153,6,7088,335*,48.21,23,30,9
AJ Strauss (ENG),AJ Strauss,ENG,2004-2012,100,178,6,7037,177,40.91,21,27,15
DG Bradman (AUS),DG Bradman,AUS,1928-1948,52,80,10,6996,334,99.94,29,13,7
ST Jayasuriya (SL),ST Jayasuriya,SL,1991-2007,110,188,14,6973,340,40.07,14,31,15
L Hutton (ENG),L Hutton,ENG,1937-1955,79,138,15,6971,364,56.67,19,33,5
DB Vengsarkar (INDIA),DB Vengsarkar,INDIA,1976-1992,116,185,22,6868,166,42.13,17,35,15
KF Barrington (ENG),KF Barrington,ENG,1955-1968,82,131,15,6806,256,58.67,20,35,5
GP Thorpe (ENG),GP Thorpe,ENG,1993-2005,100,179,28,6744,200*,44.66,16,39,12
BB McCullum (NZ),BB McCullum,NZ,2004-2016,101,176,9,6453,302,38.64,12,31,14
KS Williamson (NZ),KS Williamson,NZ,2010-2019,78,137,13,6379,242*,51.44,21,31,9
PA de Silva (SL),PA de Silva,SL,1984-2002,93,159,11,6361,267,42.97,20,22,7
MEK Hussey (AUS),MEK Hussey,AUS,2005-2013,79,137,16,6235,195,51.52,19,29,12
RB Kanhai (WI),RB Kanhai,WI,1957-1974,79,137,6,6227,256,47.53,15,28,7
M Azharuddin (INDIA),M Azharuddin,INDIA,1984-2000,99,147,9,6215,199,45.03,22,21,5
HH Gibbs (SA),HH Gibbs,SA,1996-2008,90,154,7,6167,228,41.95,14,26,11
RN Harvey (AUS),RN Harvey,AUS,1948-1963,79,137,10,6149,205,48.41,21,24,7
GR Viswanath (INDIA),GR Viswanath,INDIA,1969-1983,91,155,10,6080,222,41.93,14,35,10
RB Richardson (WI),RB Richardson,WI,1983-1995,86,146,12,5949,194,44.39,16,27,8
Azhar Ali (PAK),Azhar Ali,PAK,2010-2019,77,146,8,5885,302*,42.64,16,31,14
RR Sarwan (WI),RR Sarwan,WI,2000-2011,87,154,8,5842,291,40.01,15,31,12
ME Trescothick (ENG),ME Trescothick,ENG,2000-2006,76,143,10,5825,219,43.79,14,29,12
DCS Compton (ENG),DCS Compton,ENG,1937-1957,78,131,15,5807,278,50.06,17,28,10
Saleem Malik (PAK),Saleem Malik,PAK,1982-1999,103,154,22,5768,237,43.69,15,29,12
N Hussain (ENG),N Hussain,ENG,1990-2004,96,171,16,5764,207,37.18,14,33,14
CL Hooper (WI),CL Hooper,WI,1987-2002,102,173,15,5762,233,36.46,13,27,13
CA Pujara (INDIA),CA Pujara,INDIA,2010-2019,75,124,8,5740,206*,49.48,18,24,7
MP Vaughan (ENG),MP Vaughan,ENG,1999-2008,82,147,9,5719,197,41.44,18,18,9
AD Mathews (SL),AD Mathews,SL,2009-2019,84,151,21,5704,160,43.87,9,34,2
AC Gilchrist (AUS),AC Gilchrist,AUS,1999-2008,96,137,20,5570,204*,47.6,17,26,14
MV Boucher (ICC/SA),MV Boucher,SA,1997-2012,147,206,24,5515,125,30.3,5,35,17
MS Atapattu (SL),MS Atapattu,SL,1990-2007,90,156,15,5502,249,39.02,16,17,22
TM Dilshan (SL),TM Dilshan,SL,1999-2013,87,145,11,5492,193,40.98,16,23,14
TT Samaraweera (SL),TT Samaraweera,SL,2001-2013,81,132,20,5462,231,48.76,14,30,11
MD Crowe (NZ),MD Crowe,NZ,1982-1995,77,131,11,5444,299,45.36,17,18,9
JB Hobbs (ENG),JB Hobbs,ENG,1908-1930,61,102,7,5410,211,56.94,15,28,4
KD Walters (AUS),KD Walters,AUS,1965-1981,74,125,14,5357,250,48.26,15,33,4
IM Chappell (AUS),IM Chappell,AUS,1964-1980,75,136,10,5345,196,42.42,14,26,11
JG Wright (NZ),JG Wright,NZ,1978-1993,82,148,7,5334,185,37.82,12,23,7
MJ Slater (AUS),MJ Slater,AUS,1993-2001,74,131,7,5312,219,42.83,14,21,9
N Kapil Dev (INDIA),N Kapil Dev,INDIA,1978-1994,131,184,15,5248,163,31.05,8,27,16
WM Lawry (AUS),WM Lawry,AUS,1961-1971,67,123,12,5234,210,47.15,13,27,6
Misbah-ul-Haq (PAK),Misbah-ul-Haq,PAK,2001-2017,75,132,20,5222,161*,46.62,10,39,9
IT Botham (ENG),IT Botham,ENG,1977-1992,102,161,6,5200,208,33.54,14,22,14
JH Edrich (ENG),JH Edrich,ENG,1963-1976,77,127,9,5138,310*,43.54,12,24,6
A Ranatunga (SL),A Ranatunga,SL,1982-2000,93,155,12,5105,135*,35.69,4,38,12
Zaheer Abbas (PAK),Zaheer Abbas,PAK,1969-1985,78,124,11,5062,274,44.79,12,20,10
TW Graveney (ENG),TW Graveney,ENG,1951-1969,79,123,13,4882,258,44.38,11,20,8
MS Dhoni (INDIA),MS Dhoni,INDIA,2005-2014,90,144,16,4876,224,38.09,6,33,10
RB Simpson (AUS),RB Simpson,AUS,1957-1978,62,111,7,4869,311,46.81,10,27,8
A Flower (ZIM),A Flower,ZIM,1992-2002,63,112,19,4794,232*,51.54,12,27,5
IR Redpath (AUS),IR Redpath,AUS,1964-1976,66,120,11,4737,171,43.45,8,31,9
NJ Astle (NZ),NJ Astle,NZ,1996-2006,81,137,10,4702,222,37.02,11,24,11
AJ Lamb (ENG),AJ Lamb,ENG,1982-1992,79,139,10,4656,142,36.09,14,18,9
H Sutcliffe (ENG),H Sutcliffe,ENG,1924-1935,54,84,9,4555,194,60.73,16,23,2
DJ Cullinan (SA),DJ Cullinan,SA,1993-2001,70,115,12,4554,275*,44.21,14,20,10
HP Tillakaratne (SL),HP Tillakaratne,SL,1989-2004,83,131,25,4545,204*,42.87,11,20,9
PBH May (ENG),PBH May,ENG,1951-1961,66,106,9,4537,285*,46.77,13,22,8
DL Vettori (ICC/NZ),DL Vettori,NZ,1997-2014,113,174,23,4531,140,30,6,23,20
Asad Shafiq (PAK),Asad Shafiq,PAK,2010-2019,73,122,6,4528,137,39.03,12,26,13
ER Dexter (ENG),ER Dexter,ENG,1958-1968,62,102,8,4502,205,47.89,9,27,6
ED Weekes (WI),ED Weekes,WI,1948-1958,48,81,5,4455,207,58.61,15,19,6
FDM Karunaratne (SL),FDM Karunaratne,SL,2012-2019,64,124,4,4421,196,36.84,9,24,12
KJ Hughes (AUS),KJ Hughes,AUS,1977-1984,70,124,6,4415,213,37.41,9,22,10
MW Gatting (ENG),MW Gatting,ENG,1978-1995,79,138,14,4409,207,35.55,10,21,16
DR Martyn (AUS),DR Martyn,AUS,1992-2006,67,109,14,4406,165,46.37,13,23,7
AI Kallicharran (WI),AI Kallicharran,WI,1972-1981,66,109,10,4399,187,44.43,12,21,10
APE Knott (ENG),APE Knott,ENG,1967-1981,95,149,15,4389,135,32.75,5,30,8
M Amarnath (INDIA),M Amarnath,INDIA,1969-1988,69,113,10,4378,138,42.5,11,24,12
IA Healy (AUS),IA Healy,AUS,1988-1999,119,182,23,4356,161*,27.39,4,22,18
RC Fredericks (WI),RC Fredericks,WI,1968-1977,59,109,7,4334,169,42.49,8,26,7
Tamim Iqbal (BDESH),Tamim Iqbal,BDESH,2008-2019,58,112,1,4327,206,38.98,9,27,8
MA Butcher (ENG),MA Butcher,ENG,1997-2004,71,131,7,4288,173*,34.58,8,23,10
PD Collingwood (ENG),PD Collingwood,ENG,2003-2011,68,115,10,4259,206,40.56,10,20,6
RA Smith (ENG),RA Smith,ENG,1988-1996,62,112,15,4236,175,43.67,9,28,8
Mushfiqur Rahim (BDESH),Mushfiqur Rahim,BDESH,2005-2019,69,129,9,4210,219*,35.08,6,21,11
SM Katich (AUS),SM Katich,AUS,2001-2010,56,99,6,4188,157,45.03,10,25,4
G Gambhir (INDIA),G Gambhir,INDIA,2004-2016,58,104,5,4154,206,41.95,9,22,7
Mudassar Nazar (PAK),Mudassar Nazar,PAK,1976-1989,76,116,8,4114,231,38.09,10,17,7
AM Rahane (INDIA),AM Rahane,INDIA,2013-2019,63,105,11,4112,188,43.74,11,22,6
MJ Prior (ENG),MJ Prior,ENG,2007-2014,79,123,21,4099,131*,40.18,7,28,13
Saeed Anwar (PAK),Saeed Anwar,PAK,1990-2001,55,91,2,4052,188*,45.52,11,25,8
JM Bairstow (ENG),JM Bairstow,ENG,2012-2019,70,123,7,4030,167*,34.74,6,21,10
M Vijay (INDIA),M Vijay,INDIA,2008-2018,61,105,1,3982,167,38.28,12,15,8
Majid Khan (PAK),Majid Khan,PAK,1964-1983,63,106,5,3931,167,38.92,8,19,9
MN Samuels (WI),MN Samuels,WI,2000-2016,71,127,7,3917,260,32.64,7,24,14
Hanif Mohammad (PAK),Hanif Mohammad,PAK,1952-1969,55,97,8,3915,337,43.98,12,15,5
Shakib Al Hasan (BDESH),Shakib Al Hasan,BDESH,2007-2019,56,105,7,3862,217,39.4,5,24,4
FMM Worrell (WI),FMM Worrell,WI,1948-1963,51,87,9,3860,261,49.48,9,22,11
LD Chandimal (SL),LD Chandimal,SL,2011-2019,55,100,7,3846,164,41.35,11,18,4
A Flintoff (ENG/ICC),A Flintoff,ENG/ICC,1998-2009,79,130,9,3845,167,31.77,5,26,17
IJL Trott (ENG),IJL Trott,ENG,2009-2015,52,93,6,3835,226,44.08,9,19,8
RJ Shastri (INDIA),RJ Shastri,INDIA,1981-1992,80,121,14,3830,206,35.79,11,12,9
Imran Khan (PAK),Imran Khan,PAK,1971-1992,88,126,25,3807,136,37.69,6,18,8
F du Plessis (SA),F du Plessis,SA,2012-2019,62,106,14,3799,137,41.29,9,21,9
CL Walcott (WI),CL Walcott,WI,1948-1960,44,74,7,3798,220,56.68,15,14,1
BA Stokes (ENG),BA Stokes,ENG,2013-2019,60,110,4,3787,258,35.72,8,20,12
SM Pollock (SA),SM Pollock,SA,1995-2008,108,156,39,3781,111,32.31,2,16,9
SR Watson (AUS),SR Watson,AUS,2005-2015,59,109,3,3731,176,35.19,4,24,6
WJ Cronje (SA),WJ Cronje,SA,1992-2000,68,111,9,3714,135,36.41,6,23,11
D Elgar (SA),D Elgar,SA,2012-2019,60,104,9,3666,199,38.58,12,13,10
AG Prince (SA),AG Prince,SA,2002-2011,66,104,16,3665,162*,41.64,11,11,7
Mohammad Hafeez (PAK),Mohammad Hafeez,PAK,2003-2018,55,105,8,3652,224,37.64,10,12,8
Mushtaq Mohammad (PAK),Mushtaq Mohammad,PAK,1959-1979,57,100,7,3643,201,39.17,10,19,4
RW Marsh (AUS),RW Marsh,AUS,1970-1984,96,150,13,3633,132,26.51,3,16,12
DM Jones (AUS),DM Jones,AUS,1984-1992,52,89,11,3631,216,46.55,11,14,11
PR Umrigar (INDIA),PR Umrigar,INDIA,1948-1962,59,94,8,3631,223,42.22,12,14,5
BJ Watling (NZ),BJ Watling,NZ,2009-2019,67,106,15,3616,205,39.73,8,18,9
DL Amiss (ENG),DL Amiss,ENG,1966-1977,50,88,10,3612,262*,46.3,11,11,10
AW Greig (ENG),AW Greig,ENG,1972-1977,58,93,4,3599,148,40.43,8,20,5
Asif Iqbal (PAK),Asif Iqbal,PAK,1964-1980,58,99,7,3575,175,38.85,11,12,9
TWM Latham (NZ),TWM Latham,NZ,2014-2019,49,86,3,3554,264*,42.81,11,16,8
AR Morris (AUS),AR Morris,AUS,1946-1955,46,79,3,3533,206,46.48,12,12,4
EH Hendren (ENG),EH Hendren,ENG,1920-1935,51,83,9,3525,205*,47.63,7,21,4
DM Bravo (WI),DM Bravo,WI,2010-2019,54,98,5,3506,218,37.69,8,17,5
KC Brathwaite (WI),KC Brathwaite,WI,2011-2019,59,112,7,3496,212,33.29,8,17,12
B Mitchell (SA),B Mitchell,SA,1929-1949,42,80,9,3471,189*,48.88,8,21,3
GW Flower (ZIM),GW Flower,ZIM,1992-2004,67,123,6,3457,201*,29.54,6,15,16
BE Congdon (NZ),BE Congdon,NZ,1965-1978,61,114,7,3448,176,32.22,7,19,9
JR Reid (NZ),JR Reid,NZ,1949-1965,58,108,5,3428,142,33.28,6,22,5
C Hill (AUS),C Hill,AUS,1896-1912,49,89,2,3412,191,39.21,7,19,9
GA Hick (ENG),GA Hick,ENG,1991-2001,65,114,6,3383,178,31.32,6,18,11
GM Wood (AUS),GM Wood,AUS,1978-1988,59,112,6,3374,172,31.83,9,13,9
PJL Dujon (WI),PJL Dujon,WI,1981-1991,81,115,11,3322,139,31.94,5,16,8
CL Cairns (NZ),CL Cairns,NZ,1989-2004,62,104,5,3320,158,33.53,5,22,7
Ijaz Ahmed (PAK),Ijaz Ahmed,PAK,1987-2001,60,92,4,3315,211,37.67,12,12,7
FE Woolley (ENG),FE Woolley,ENG,1909-1934,64,98,7,3283,154,36.07,5,23,13
KWR Fletcher (ENG),KWR Fletcher,ENG,1968-1982,59,96,14,3272,216,39.9,7,19,6
BJ Haddin (AUS),BJ Haddin,AUS,2008-2015,66,112,13,3266,169,32.98,4,18,8
ND McKenzie (SA),ND McKenzie,SA,2000-2009,58,94,7,3253,226,37.39,5,16,9
CC Hunte (WI),CC Hunte,WI,1958-1967,44,78,6,3245,260,45.06,8,13,5
VL Manjrekar (INDIA),VL Manjrekar,INDIA,1951-1965,55,92,10,3208,189*,39.12,7,15,11
NS Sidhu (INDIA),NS Sidhu,INDIA,1983-1999,51,78,2,3202,201,42.13,9,15,9
HA Gomes (WI),HA Gomes,WI,1976-1987,60,91,11,3171,143,39.63,9,13,5
VT Trumper (AUS),VT Trumper,AUS,1899-1912,48,89,8,3163,214*,39.04,8,13,7
SCJ Broad (ENG),SCJ Broad,ENG,2007-2019,135,199,29,3158,169,18.57,1,12,35
SK Warne (AUS),SK Warne,AUS,1992-2007,145,199,17,3154,99,17.32,0,12,34
Sir RJ Hadlee (NZ),Sir RJ Hadlee,NZ,1973-1990,86,134,19,3124,151*,27.16,2,15,12
CD McMillan (NZ),CD McMillan,NZ,1997-2005,55,91,10,3116,142,38.46,6,19,7
CC McDonald (AUS),CC McDonald,AUS,1952-1961,47,83,4,3107,170,39.32,5,17,2
BF Butcher (WI),BF Butcher,WI,1958-1969,44,78,6,3104,209*,43.11,7,16,3
WPUJC Vaas (SL),WPUJC Vaas,SL,1994-2009,111,162,35,3089,100*,24.32,1,13,12
AL Hassett (AUS),AL Hassett,AUS,1938-1953,43,69,3,3073,198*,46.56,10,11,1
CG Borde (INDIA),CG Borde,INDIA,1958-1969,55,97,11,3061,177*,35.59,5,18,13
Habibul Bashar (BDESH),Habibul Bashar,BDESH,2000-2008,50,99,1,3026,113,30.87,3,24,7
JC Adams (WI),JC Adams,WI,1992-2001,54,90,17,3012,208*,41.26,6,14,7
Saeed Ahmed (PAK),Saeed Ahmed,PAK,1958-1973,41,78,4,2991,172,40.41,5,16,2
GM Turner (NZ),GM Turner,NZ,1969-1983,41,73,6,2991,259,44.64,7,14,1
Taufeeq Umar (PAK),Taufeeq Umar,PAK,2001-2014,44,83,5,2963,236,37.98,7,14,6
AD Nourse (SA),AD Nourse,SA,1935-1951,34,62,7,2960,231,53.81,9,14,3
KR Miller (AUS),KR Miller,AUS,1946-1956,55,87,7,2958,147,36.97,7,13,5
HW Taylor (SA),HW Taylor,SA,1912-1932,42,76,4,2936,176,40.77,7,17,2
AH Jones (NZ),AH Jones,NZ,1987-1995,39,74,8,2922,186,44.27,7,11,2
D Ramdin (WI),D Ramdin,WI,2005-2016,74,126,14,2898,166,25.87,4,15,9
Wasim Akram (PAK),Wasim Akram,PAK,1985-2002,104,147,19,2898,257*,22.64,3,7,17
UT Khawaja (AUS),UT Khawaja,AUS,2011-2019,44,77,6,2887,174,40.66,8,14,4
SL Campbell (WI),SL Campbell,WI,1995-2002,52,93,4,2882,208,32.38,4,18,7
AC Parore (NZ),AC Parore,NZ,1990-2002,78,128,19,2865,110,26.28,2,14,6
WW Armstrong (AUS),WW Armstrong,AUS,1902-1921,50,84,10,2863,159*,38.68,6,8,6
ADR Campbell (ZIM),ADR Campbell,ZIM,1992-2002,60,109,4,2858,103,27.21,2,18,10
GR Marsh (AUS),GR Marsh,AUS,1985-1992,50,93,7,2854,138,33.18,4,15,3
Rameez Raja (PAK),Rameez Raja,PAK,1984-1997,57,94,5,2833,122,31.83,2,22,7
Aamer Sohail (PAK),Aamer Sohail,PAK,1992-2000,47,83,3,2823,205,35.28,5,13,6
Wasim Raja (PAK),Wasim Raja,PAK,1973-1985,57,92,14,2821,125,36.16,4,18,8
KR Stackpole (AUS),KR Stackpole,AUS,1966-1974,43,80,5,2807,207,37.42,7,14,5
MAK Pataudi (INDIA),MAK Pataudi,INDIA,1961-1975,46,83,3,2793,203*,34.91,6,16,7
KC Wessels (AUS/SA),KC Wessels,AUS/SA,1982-1994,40,71,3,2788,179,41,6,15,5
MM Ali (ENG),MM Ali,ENG,2014-2019,60,104,8,2782,155*,28.97,5,14,14
NCL O'Neill (AUS),NCL O'Neill,AUS,1958-1965,42,69,8,2779,181,45.55,6,15,6
BKG Mendis (SL),BKG Mendis,SL,2015-2019,42,82,3,2777,196,35.15,6,10,7
MH Richardson (NZ),MH Richardson,NZ,2000-2004,38,65,3,2776,145,44.77,4,19,1
M Leyland (ENG),M Leyland,ENG,1928-1938,41,65,5,2764,187,46.06,9,10,6
SMH Kirmani (INDIA),SMH Kirmani,INDIA,1976-1986,88,124,22,2759,102,27.04,2,12,7
GN Yallop (AUS),GN Yallop,AUS,1976-1984,39,70,3,2756,268,41.13,8,9,3
SJ McCabe (AUS),SJ McCabe,AUS,1930-1938,39,62,5,2748,232,48.21,6,13,4
Moin Khan (PAK),Moin Khan,PAK,1990-2004,69,104,8,2741,137,28.55,4,15,5
Mahmudullah (BDESH),Mahmudullah,BDESH,2009-2019,48,91,6,2739,146,32.22,4,16,10
Mohammad Ashraful (BDESH),Mohammad Ashraful,BDESH,2001-2013,61,119,5,2737,190,24,6,8,16
B Sutcliffe (NZ),B Sutcliffe,NZ,1947-1965,42,76,8,2727,230*,40.1,5,15,5
Mohsin Khan (PAK),Mohsin Khan,PAK,1978-1986,48,79,6,2709,200,37.1,7,9,3
Shoaib Mohammad (PAK),Shoaib Mohammad,PAK,1983-1995,45,68,7,2705,203*,44.34,7,13,6
MG Burgess (NZ),MG Burgess,NZ,1968-1980,50,92,6,2684,119*,31.2,5,14,5
Q de Kock (SA),Q de Kock,SA,2014-2019,44,74,5,2683,129*,38.88,5,18,5
JV Coney (NZ),JV Coney,NZ,1974-1987,52,85,14,2668,174*,37.57,3,16,3
Mominul Haque (BDESH),Mominul Haque,BDESH,2013-2019,38,71,4,2657,181,39.65,8,13,8
Sarfaraz Ahmed (PAK),Sarfaraz Ahmed,PAK,2010-2019,49,86,13,2657,112,36.39,3,18,4
Kamran Akmal (PAK),Kamran Akmal,PAK,2002-2010,53,92,6,2648,158*,30.79,6,12,14
JA Rudolph (SA),JA Rudolph,SA,2003-2012,48,83,9,2622,222*,35.43,6,11,8
FM Engineer (INDIA),FM Engineer,INDIA,1961-1975,46,87,3,2611,121,31.08,2,16,7
WW Hinds (WI),WW Hinds,WI,2000-2005,45,80,1,2608,213,33.01,5,14,6
MJ Guptill (NZ),MJ Guptill,NZ,2009-2016,47,89,1,2586,189,29.38,3,17,10
Sadiq Mohammad (PAK),Sadiq Mohammad,PAK,1969-1981,41,74,2,2579,166,35.81,5,10,6
RD Jacobs (WI),RD Jacobs,WI,1998-2004,65,112,21,2577,118,28.31,3,14,12
RS Mahanama (SL),RS Mahanama,SL,1986-1998,52,89,1,2576,225,29.27,4,11,7
C Washbrook (ENG),C Washbrook,ENG,1937-1956,37,66,6,2569,195,42.81,6,12,2
GS Blewett (AUS),GS Blewett,AUS,1995-2000,46,79,4,2552,214,34.02,4,15,6
JN Rhodes (SA),JN Rhodes,SA,1992-2000,52,80,9,2532,117,35.66,3,17,4
GP Howarth (NZ),GP Howarth,NZ,1975-1985,47,83,5,2531,147,32.44,6,11,7
SM Nurse (WI),SM Nurse,WI,1960-1969,29,54,1,2523,258,47.6,6,10,3
EJ Barlow (SA),EJ Barlow,SA,1961-1970,30,57,2,2516,201,45.74,6,15,3
TL Goddard (SA),TL Goddard,SA,1955-1970,41,78,5,2516,112,34.46,1,18,4
A Kumble (INDIA),A Kumble,INDIA,1990-2008,132,173,32,2506,110*,17.77,1,5,17
BL D'Oliveira (ENG),BL D'Oliveira,ENG,1966-1972,44,70,8,2484,158,40.06,5,15,4
AL Logie (WI),AL Logie,WI,1983-1991,52,78,9,2470,130,35.79,2,16,8
DW Randall (ENG),DW Randall,ENG,1977-1984,47,79,5,2470,174,33.37,7,12,14
W Bardsley (AUS),W Bardsley,AUS,1909-1926,41,66,5,2469,193*,40.47,6,14,6
KR Rutherford (NZ),KR Rutherford,NZ,1985-1995,56,99,8,2465,107*,27.08,3,18,16
AP Gurusinha (SL),AP Gurusinha,SL,1985-1996,41,70,7,2452,143,38.92,7,8,3
P Roy (INDIA),P Roy,INDIA,1951-1960,43,79,4,2442,173,32.56,5,9,14
WJ Edrich (ENG),WJ Edrich,ENG,1938-1955,39,63,2,2440,219,40,6,13,3
DJ McGlew (SA),DJ McGlew,SA,1951-1962,34,64,6,2440,255*,42.06,7,10,4
TG Evans (ENG),TG Evans,ENG,1946-1959,91,133,14,2439,104,20.49,2,8,17
LEG Ames (ENG),LEG Ames,ENG,1929-1939,47,72,12,2434,149,40.56,8,7,5
JHB Waite (SA),JHB Waite,SA,1951-1965,50,86,7,2405,134,30.44,4,16,9
Imran Farhat (PAK),Imran Farhat,PAK,2001-2013,40,77,2,2400,128,32,3,14,3
R Ashwin (INDIA),R Ashwin,INDIA,2011-2019,70,96,13,2385,124,28.73,4,11,3
MR Ramprakash (ENG),MR Ramprakash,ENG,1991-2002,52,92,6,2350,154,27.32,2,12,12
W Rhodes (ENG),W Rhodes,ENG,1899-1930,58,98,21,2325,179,30.19,2,11,6
S Dhawan (INDIA),S Dhawan,INDIA,2013-2018,34,58,1,2315,190,40.61,7,5,4
GT Dowling (NZ),GT Dowling,NZ,1961-1972,39,77,3,2306,239,31.16,3,11,6
WM Woodfull (AUS),WM Woodfull,AUS,1926-1934,35,54,4,2300,161,46,7,13,6
TE Bailey (ENG),TE Bailey,ENG,1949-1959,61,91,14,2290,134*,29.74,1,10,7
PJP Burge (AUS),PJP Burge,AUS,1955-1966,42,68,8,2290,181,38.16,4,12,5
SE Gregory (AUS),SE Gregory,AUS,1890-1912,58,100,7,2282,201,24.53,4,8,12
MJK Smith (ENG),MJK Smith,ENG,1958-1972,50,78,6,2278,121,31.63,3,11,11
SE Marsh (AUS),SE Marsh,AUS,2011-2019,38,68,2,2265,182,34.31,6,10,10
RG Pollock (SA),RG Pollock,SA,1963-1970,23,41,4,2256,274,60.97,7,11,1
